DESC_camp_id,title,location,description,date_opened,date_closed,peak_pop,date_peak_pop,fk_ENUM_camp_type_id,rowversion,has_display_image
57,Fort Bliss,"Fort Bliss, Texas",,,,91,1942-10-01 00:00:00.0,6,000000000003B4EA,0
58,Fort Howard,"Fort Howard, Maryland",,,,30,1942-07-14 00:00:00.0,6,000000000003B4EB,0
59,Fort Lewis,"Fort Lewis, Washington",,1942-01-01 00:00:00.0,1942-03-30 00:00:00.0,42,1942-05-04 00:00:00.0,6,000000000003B4EC,0
60,Fort McDowell,"Fort McDowell, California",,,,199,1942-02-21 00:00:00.0,6,000000000003B4ED,0
61,Fort Meade,"Fort George Meade, Maryland",,,,384,1942-05-04 00:00:00.0,6,000000000003B4EE,0
62,Fort Richardson,"Fort Richardson, Alaska",,,,17,1942-02-14 00:00:00.0,6,000000000003B4EF,0
63,Fort Sam Houston,"Fort Sam Houston, Texas",,,,106,1942-05-04 00:00:00.0,6,000000000003B4F0,0
65,Griffith Park,"Burbank, California",,1942-03-01 00:00:00.0,,19,1942-03-12 00:00:00.0,6,000000000003B4F1,0
66,Honouliuli,"Honouliuli, Oahu, Hawaii",,1943-02-01 00:00:00.0,1945-01-01 00:00:00.0,320,,6,000000000003B4F2,0
67,East Boston,"East Boston, Massachusetts",,,,,,8,000000000003B4F3,0
68,San Francisco,"San Francisco, California",,,,,,8,000000000003B4F4,0
69,San Pedro,"San Pedro, California",,,,,,8,000000000003B4F5,0
70,Seattle,"Seattle, Washington",,,,,,8,000000000003B4F6,0
71,Tuna Canyon,"Tujunga, California",,,,,,8,000000000003B4F7,0
